Speaker;Start Timestamp;End Timestamp;Transcript
";04:25;04:27;""We're in the middle of Iowa"," right?"""
";04:28;04:33;""So bringing music on campus"," bringing culture on campus was really important."""
";04:33;04:36;""And we did a lot of that during my time."""
";04:36;04:40;""Totally. Yeah."""
";04:40;04:46;""And I think this is actually a perfect segue into the next sort of part of the interview"," which is about Georgia herself."""
";04:46;04:49;""Um", so we were just wondering, you know," first question."""
";04:49;04:53;""Could you tell me about your first interaction or first impression", uh," with Georgia?"""
";04:53;04:56;""Again", we know she was a little, you know, a little eccentric," if you will."""
";04:56;05:00;""So just first interaction", first impression, um," whatever comes to mind."""
";05:00;05:08;""So Michael Oxman"," I think was the chair coordinator before me."""
";05:08;05:13;""And when he was transitioning"," he was graduating."""
";05:13;05:16;""He said", you know," I think maybe this might be a good thing for you."""
";05:16;05:20;""I can't remember"," but somehow I got the gig."""
";05:20;05:25;""And I remember we had an office in the forum at the time."""
";05:25;05:30;""The forum was the hub of student life"," right?"""
";05:30;05:33;""Um"," it's where everything happened."""
";05:33;05:39;""The forum", um, beach, as we called it," where all the kids hung out."""
";05:39;05:45;""Probably akin to where you guys have", um," what do you have that now?"""
";05:45;05:46;""The Joe or the."""
";05:47;05:48;""Yeah"," the Joe Rosenfield center."""
";05:48;05:49;""Yeah."""
";05:49;05:49;""Yeah."""
";05:49;05:49;""Yeah."""
";05:49;05:52;""It's probably akin to what that is now for students."""
";05:52;05:58;""But back then it was a forum and Georgia had an office for her students in the forum."""
";05:58;05:59;""It was in the basement."""
";05:59;06:07;""And I remember my first interaction was I had like office hours where Georgia would call."""
";06:07;06:10;""Cause obviously we didn't have cell phones back then."""
";06:11;06:17;""And we would"," I would go into the office and my first interaction of course was on the phone with her."""
";06:17;06:22;""And the two years", two and a half years that I worked with her, of course," I never met her."""
";06:23;06:28;""I only spoke to her over the phone and I never thought she was eccentric."""
";06:28;06:34;""I always thought she was this fabulous woman that had tons of stories."""
";06:34;06:40;""The majority of the time with her was absolutely doing business."""
";06:40;06:41;""This band's coming into town."""
";06:41;06:43;""We need to do this", that," and the other."""
";06:43;06:49;""But my"," the majority of my time with Georgia was just listening to her tell stories."""
";06:50;06:53;""You know"," about the time she met this band."""
";06:53;06:56;""Jefferson Starship."""
";06:56;06:59;""The time Bruce Springsteen came on campus."""
";06:59;07:00;""The time this happened."""
";07:00;07:07;""So my time with her was just office hours and then listening to her talk about her life."""
";07:07;07:11;""While coordinating these fabulous bands."""
";07:11;07:15;""And not only bands"," not only music."""
";07:15;07:19;""But art on campus."""
";07:20;07:23;""So the 1st meeting with her"," I would say was."""
";07:23;07:28;""You know", office in the forum talking around the phone," probably."""
";07:28;07:30;""Figuring out what we're going to do that."""
";07:30;07:33;""Academic here."""
";07:33;07:40;""Right. And so just sort of following up on that", you know," as a concert chair."""
";07:40;07:45;""I'm just wondering if you could go into sort of working with her in the sense of like."""
";07:45;07:49;""In the sense of the process"," right?"""
";07:49;07:51;""Like"," how did you bring up bands?"""
";07:51;07:52;""Did you bring up bands to her?"""
";07:52;07:53;""Did she bring up bands to you?"""
";07:53;07:58;""Was it sort of a two way street or just sort of the process of", you know," from."""
";07:58;07:59;""Yeah."""
";07:59;08:00;""You know"," I mean."""
";08:00;08:00;""From you rising up bands and booking."""
";08:00;08:03;""We're talking like almost 40 years ago."""
";08:03;08:06;""So", I mean," what I remember was."""
";08:06;08:09;""Was at that point."""
";08:09;08:12;""It was more about."""
";08:12;08:14;""About me kind of."""
";08:14;08:19;""Recommending bands because I remember during my tenure."""
";08:19;08:24;""We got a lot of local Chicago bands to come on campus."""
";08:24;08:26;""Buddy Guy."""
";08:26;08:27;""Coco Taylor."""
";08:27;08:29;""I remember we got some reggae bands."""
";08:29;08:31;""Big Red and the professionals."""
";08:31;08:36;""And then we got some bigger things right that she was involved with."""
";08:36;08:40;""I remember we had the count"," Basie office truck come on campus."""
";08:40;08:47;""What was really one of the things that I remember during my time was the Twyla Tharp dancers."""
";08:47;08:48;""Came on campus."""
";08:48;08:51;""And if you know who the Twyla Tharp dancers are."""
";08:51;08:55;""And if you're a dancer", that was big time," right?"""
";08:55;08:59;""So", yeah," it was it was definitely a 2 way street."""
";08:59;09:06;""In that she looked to the students to recommend", you know," what was the pulse of the time."""
";09:06;09:14;""But then because of her correct connections in the music industry"," she was able to pull in some bigger names."""
";09:14;09:20;""I kind of remember the Google dolls coming on campus or maybe David Jo Hanson."""
";09:20;09:25;""Some big names came on campus because of her pull"," right?"""
";09:25;09:30;""So it was definitely a two way street"," but she definitely like."""
";09:30;09:37;""Leaned into the students to kind of bring the present day artists on."""
";09:37;09:38;""Mm hmm."""
";09:38;09:39;""Yeah", I mean," that makes sense."""
";09:39;09:48;""One of the things that", you know, I've been sort of one of my main things that I've been working on this this year or this summer has been sort of compiling like a list of
"concerts at the college."""
";09:48;10:05;""And just one of the things that's always that struck me while I've been doing it is just like it was always a really good mix of both people who", you know, used to
potentially be in their prime, but, you know, are not as famous," but also really up to date artists."""
";10:05;10:12;""And I think that really was only possible", right, if you took input from students as opposed to just saying, no, I'm going to book this band, I'm going to book this band or
"whatnot."""
";10:12;10:13;""So", yeah," totally."""
";10:13;10:16;""Yeah"," she was definitely collaborative."""
";10:16;10:28;""And", you know, because she wasn't out and about, she definitely used the students as a connector to what was going on," right?"""
";10:28;10:29;""Yeah"," and it's strange."""
";10:29;10:43;""I mean"," it never seemed weird to me that I never met her because I felt I was close to her because we talked on the phone every I want to say at one point probably every day."""
";10:43;10:50;""Yeah"," I feel like so many people that we've talked to just sort of have the same have the same memories right of talking on the phone."""
";10:50;11:04;""And which is", you know, obviously, you know, I think one of the things we've been thinking about is just like, you know, if if if she was working today, obviously, there
would be some sort of accommodation or, you know," working from home or remote or whatnot."""
";11:04;11:19;""But obviously", you know, in the 60s and 70s and 80s, there wasn't that and just so I think it's I think it's really unique to be able to sort of make a connection with
"someone even though you've never technically met them right in person."""
";11:19;11:26;""I really wonder if she was in this day and age"," if she would be a person that would be on camera or off camera."""
";11:26;11:30;""There's a part of me that thinks that she would be off camera for some reason."""
";11:30;11:37;""Yeah", I mean, I, I don't know. I wouldn't put a pastor. I think I think that would totally. Yeah. So," um."""
";11:37;11:49;""Could you", uh, I guess guess we'll go, you know, you kind of touched on this, but do you have like a particular concert or particular event that you really, really
"remember that really impacted you during your time at Grinnell?"""
";11:49;11:57;""Well", yeah, the file of our dancers, right when they came on campus," because I was a dancer. So that was big."""
";11:57;12:04;""Um", buddy guy," big blues guy in Chicago is also a big one."""
";12:04;12:16;""Um", we would do concerts at the time and Darby gymnasium, cause that was our big place. I don't think Darby's there anymore, but we would also do it in the forum," right?"""
";12:16;12:19;""Um"," the small intimate concerts."""
";12:19;12:28;""And I", what I remember was like," we'd get a reggae band from Chicago to come in and they'd be in the north lounge of the forum."""
";12:28;12:39;""Um", and it would literally like being in a nightclub in Chicago, if they would transform it, the lights would go down and you'd be in a red bar, um," in the north."""
";12:39;12:41;""Um"," lounge of the forum."""
";12:41;12:50;""So", I mean, I think every, even though it's cloudy now, cause it's like 40 years ago, I remember everything was memorable," right?"""
";12:50;12:55;""Because you were bringing culture into the middle of Iowa."""
";12:55;13:06;""Um", so every time something happened, you know, Coco Taylor was a huge blues musician back in the day when she came on campus," right?"""
";13:06;13:11;""And catering to the bands", you know, I remember, you know," they would come on campus."""
";13:11;13:13;""That would be the easy part."""
";13:13;13:19;""Once they got on campus", you know, how would college students, you know," kind of."""
";13:19;13:22;""Take care of these band members."""
";13:22;13:28;""So", I mean, memorable absolutely for as a dancer," it was a twilight dancers."""
";13:28;13:32;""I remember when the count based the orchestra came on campus."""
";13:32;13:33;""That was a big thing."""
";13:33;13:43;""Because that brought", um, not only the college community, but the town as well," because everybody knows who town based students."""
";13:43;13:44;""Right?"""
";13:44;13:45;""So"," yeah."""
";13:45;13:46;""Yeah."""
";13:46;13:47;""No"," totally."""
";13:47;13:48;""Yeah."""
";13:48;13:49;""Perfect."""
";13:49;13:50;""Okay."""
";13:50;14:03;""Um", could you just, you know, maybe talk a little bit about how, you know, other students, other students and faculty sort of perceived, sort of perceived Georgia
"during your time at the college?"""
";14:03;14:09;""Yeah", she was," she was definitely a legend."""
";14:09;14:20;""People knew of her", you know, the, the, the whispers in the halls was, you know, she has, you know, a rack of all the," she can't leave the house."""
";14:20;14:29;""You know", that was, that was also always under the breath, but she was absolutely a legend and people," I think."""
";14:29;14:31;""Respected her."""
";14:31;14:37;""Respected what she brought in her", um," the knowledge she had and the connection she had."""
";14:37;14:41;""I don't think anyone other than just people being curious."""
";14:41;14:42;""Right."""
";14:42;14:50;""I don't remember any ill talk or any kind of negative comments about her."""
";14:50;14:53;""People just accepted the way she worked."""
";14:53;14:57;""You know", I would," I could be on the phone with her for two hours."""
";14:57;15:11;""You know", um, I think the college," the students that knew of her kind of thought of her as a legend."""
";15:11;15:18;""And I know the administration kind of respected her brain trust."""
";15:18;15:19;""Right."""
";15:19;15:25;""I know there was before me"," there was some challenges with the administration that I heard of."""
";15:25;15:33;""I don't have any first not had knowledge of it"," but I do think she was highly respected for what she brought to the table."""
";15:33;15:36;""Right. Yeah."""
";15:36;15:39;""And", you know, just, uh," the challenges of the administration."""
";15:39;15:40;""I wanted to talk to you."""
";15:40;15:46;""Um", also just asking about you, you, uh," wrote a letter to the S and B."""
";15:46;15:48;""Um"," I believe it was in 1994."""
";15:48;15:50;""I want to say", or something," something."""
";15:50;15:52;""They were probably doing something about Georgia."""
";15:52;15:54;""Yeah"," they were doing something about Georgia."""
";15:54;15:55;""Georgia."""
";15:55;16:04;""And you were part of", I believe, three, uh, four concerts chairs who, um, wrote a letter sort of in defense, um, in defense of, uh," in defense of her."""
";16:04;16:05;""Right."""
";16:05;16:07;""When she was"," when she had her position being challenged."""
";16:07;16:16;""Um", so I was just wondering if you could sort of go into your, um, if you could just sort of talk about that, like, like open ended, um, just, uh, sort of," I see."""
";16:16;16:20;""I mean", it's," it's kind of what I've been talking to."""
";16:20;16:23;""She"," she was."""
";16:23;16:24;""She was."""
";16:24;16:33;""If I remember as a young 19", 20, 21 year old," right."""
";16:33;16:35;""She was phenomenal."""
";16:35;16:36;""She was a mentor."""
";16:36;16:40;""She was someone I looked up to."""
";16:40;16:45;""She revered my opinion"," you know?"""
";16:45;16:59;""And so when she was being attacked or being questioned", of course I came to her defense, you know," because she had been such a critical part of my growing up."""
";16:59;17:18;""You know", who in your youth would give you that much authority to bring music culture, to have an opinion of what would come on to this great little college in the middle
"of Iowa."""
";17:18;17:19;""Right."""
";17:19;17:21;""You know"," and she did."""
";17:21;17:40;""And I think the people that worked for her understood what an honor it was to have that", um," to have her think so tightly of you that she would even consider your opinion."""
";17:40;17:41;""Right."""
";17:41;17:45;""This is a woman that worked with huge talent."""
";17:45;17:52;""And here I was a 19", 20, 21 year old," and she was listening to my opinion."""
";17:52;17:58;""So", yeah," when she was having some challenges in terms of her value and worth."""
";17:58;18:01;""I mean"," I had to use my voice."""
";18:01;18:05;""Yeah", no," I think that totally makes sense."""
";18:05;18:13;""I mean", just, just, you know, sort of, sort of thinking about it from, I guess, my perspective as someone who, you know," has been a concert chair for the past two years."""
";18:13;18:18;""Right. There definitely is that sense of like", you know, of," of people trusting in you."""
";18:18;18:22;""Right. You know", you're dealing, you're dealing with, uh," you're dealing with the vast amount of money."""
";18:22;18:26;""You're essentially", you know," dealing with the reputation of the college."""
";18:26;18:31;""Right. Because you're interacting with your", you're sort of the people interacting with the," these highly regarded acts."""
";18:31;18:36;""And so if you", you know, if you mess it up, then that could really," that could really go south."""
";18:36;18:38;""So", yeah, that," that totally makes sense."""
";18:38;18:42;""Um", yeah, so I think, you know, we talked about the," the controversies incidents."""
";18:42;18:50;""Um", and, and we have, we've had so, I mean, just going through the S and B we've had, we've found so many, you know," during the sort of."""
";18:50;18:56;""During the sort of like each conflict that she had with the college", I believe we," we've cataloged three of them."""
";18:56;19:08;""Um", it was always front page news and the S and B and people were writing opinion articles, were writing letters, writing op-eds about all this other stuff, which has
"been just really interesting to really interesting to see."""
";19:08;19:12;""Okay", um, so," um."""
";19:12;19:19;""How were", uh, you know, how were concert to the student life impacted by the colleges, uh," financial situation at the time?"""
";19:19;19:24;""I don't."""
";19:24;19:30;""I vaguely remember"," like talking about budget."""
";19:30;19:37;""With Georgia"," but I don't remember it being a variable that was really."""
";19:37;19:39;""a challenge."""
";19:39;19:41;""I mean"," so."""
";19:41;19:44;""Grinnell has always had money."""
";19:44;19:51;""I mean"," Warren Buffett was on their board for so long that he blew up their endowment."""
";19:51;19:55;""To the size of Harvard."""
";19:55;19:56;""I don't remember."""
";19:56;20:03;""Lack of finances being a challenge back then."""
";20:03;20:15;""As I said", I vaguely remember like Georgia mentioning the budget was lower one year," but it didn't stop us from bringing people on campus."""
";20:15;20:21;""I remember there was a regular stream of talent or culture being brought on."""
";20:21;20:26;""And I don't remember dollars being a challenge."""
";20:26;20:27;""Tell you the truth."""
";20:27;20:28;""No."""
";20:28;20:29;""Yeah."""
";20:29;20:39;""And would you say", would you say a solid chunk of that is due to, you know, maybe due to the budget aspect, but also due to the fact that she had all these connections and was
"able to sort of work and worm around deals and whatnot."""
";20:39;20:45;""Yeah"," maybe she was a phenomenal negotiator."""
";20:45;20:53;""So I know that she was able to get people to come for a lot less than they were charging for other places."""
";20:53;20:54;""I know that."""
";20:54;20:58;""I know that she was able to get people to come for a lot of money."""
";20:58;21:00;""But I think that she was able to get people to come for a lot of money."""
";21:00;21:02;""And I think that she was able to get people to come for a lot of money."""
";21:02;21:04;""And I think that she was able to get people to come for a lot of money."""
";21:04;21:06;""And I think that she was able to get people to come for a lot of money."""
";21:06;21:07;""And I think that she was able to get people to come for a lot of money."""
";21:07;21:08;""And I think that she was able to get people to come for a lot of money."""
";21:08;21:09;""I think that she was able to get people to come for a lot of money."""
";21:09;21:10;""Absolutely."""
";21:10;21:11;""Yeah."""
";21:11;21:12;""Okay."""
";21:12;21:25;""And then", you know, we talked about like sort of Georgia and her contributions as students feeling, I was just wondering, like, could you talk about, you know, how your
friends or other students felt about, you know, the general sort of social sort of social program at the time," right?"""
";21:25;21:34;""You know", you said being in the middle, being in the middle of Iowa, there it's a, you know, you're sort of perennially, you're sort of always fighting off the, you know,
"there's nothing to do this weekend."""
";21:34;21:38;""Oh", no," there was always something to do."""
";21:38;21:43;""So", as I said, I only lived on campus my first year," which was freshman year."""
";21:43;21:46;""I was in Norris"," West Norris third."""
";21:46;21:52;""And I lived in Pine Tree House"," and then I lived off campus in apartments."""
";21:52;22:02;""There was never any lacking of social events"," even if there wasn't something being brought on campus."""
";22:02;22:05;""There was always something to do."""
";22:05;22:15;""Back in the day"," watching a movie on a Saturday night in ARH was the place to be."""
";22:15;22:20;""And don't forget the drinking age at that time was 19."""
";22:20;22:25;""Not that you need to drink to socialize"," but it made a difference."""
";22:25;22:28;""The social atmosphere."""
";22:28;22:31;""It was always popping."""
";22:31;22:33;""I mean"," I always remember."""
";22:33;22:38;""Having the choice of doing something"," because there was always something going on."""
";22:38;22:40;""Or not."""
";22:40;22:41;""Not."""
";22:41;22:45;""But yeah", it was very, it was a, it was a," it was a different time."""
";22:45;22:46;""Don't forget."""
";22:46;22:48;""We didn't have cell phones."""
";22:48;22:50;""We didn't have internet."""
";22:50;22:54;""We didn't have Snapchat or any of that stuff."""
";22:54;22:57;""So we literally had to interact with each other."""
";22:57;23:01;""I do remember lots of parties."""
";23:01;23:03;""There was Gardner Lounge."""
";23:03;23:05;""There was North Lounge."""
";23:05;23:08;""There was always something going on."""
";23:08;23:13;""Because we had to"," we didn't have the luxury of streaming Netflix."""
";23:13;23:16;""And don't forget"," we didn't have phones."""
";23:16;23:22;""If I wanted to get a phone call from a family member"," I'd have to schedule it."""
";23:22;23:25;""And there was a phone in the hallway."""
";23:25;23:27;""So it was a different time."""
";23:27;23:33;""So the social interaction"," I remember was very much popping back then."""
";23:33;23:37;""So", so students were," students were happy is what you're saying."""
";23:37;23:38;""Students were happy."""
";23:38;23:44;""Well", as happy as you can be, you know," as a young adult away from home."""
";23:44;23:47;""So", yeah, it was, yeah," it was different."""
";23:47;23:52;""So you must know the cult of Grinnell"," right?"""
";23:52;23:54;""My best friends are from Grinnell."""
";23:54;23:57;""They are."""
";23:57;23:58;""They are."""
";23:58;24:03;""I mean"," my best friends right now in my life are my friends from Grinnell."""
";24:03;24:09;""Yeah", I feel like, you know, it's just," I don't know."""
";24:09;24:13;""There definitely is like a very", there's a lot of connection that I feel like happens when you're in sort of the, you know,"
;24:13;24:23;you're in sort of a smaller place", smaller place, not a ton to do sort of outside," not a ton to do outside of the college."""
";24:23;24:25;""And something else that we actually talked about"," I can't remember who this was with."""
";24:25;24:40;""It might have been with a previous interviewee is", you know, now, now it's sort of very easy to sort of, I guess, an example of this is now it's sort of easy to, you know,
"like watch TV in your room or something like that."""
";24:40;24:44;""You know", like if you want to watch the Super Bowl," you can watch it in your room and it's pretty easy."""
";24:44;24:52;""But", you know, back in back in the really up until the up until the probably the late 2000s," you had to go to the lounge if you wanted to do something like that."""
";24:52;24:55;""And so there was just sort of perspective at all."""
";24:55;24:58;""There was the Jeopardy club."""
";24:58;25:01;""If you wanted to watch Jeopardy"," you go into the pub."""
";25:01;25:04;""There was a whole bunch of kids that would watch Jeopardy."""
";25:04;25:06;""All my children in the lounge."""
";25:06;25:09;""We couldn't we didn't watch TV in our room."""
";25:09;25:13;""Right. Perfect."""
";25:13;25:14;""Great. Okay."""
";25:14;25:15;""All right."""
";25:15;25:24;""So how did your how did your interactions with Georgia and concerts and just working as concerts chair?"""
";25:24;25:28;""How did they impact your post for now your post Grinnell life in your career?"""
";25:28;25:30;""Um."""
";25:34;25:39;""I mean", as I said, she was a great mentor," so I'm sure she."""
";25:39;25:43;""She helped form the woman that I am."""
";25:43;25:46;""I mean"," I do work in the music industry now."""
";25:46;25:50;""I work for a company that manufacturers microphones and."""
";25:50;25:54;""I think that's a big part of what we do is support the music industry."""
";25:54;25:57;""But I don't know if that's a result of my work with Georgia."""
";25:57;26:00;""I think probably my work with Georgia."""
";26:00;26:04;""Probably helped me build some more self confidence as a female."""
";26:04;26:09;""Um", because she was," she knew her stuff and she."""
";26:09;26:12;""Took no prisoners"," right? She was."""
";26:12;26:15;""Other than my mom and my grandmother"," she's probably."""
";26:15;26:19;""Along with Ilsa lighting her that other professor I talked about."""
";26:19;26:23;""She was one of the very powerful"," strong women."""
";26:23;26:25;""That I saw"," even though I never met her."""
";26:25;26:31;""I don't even I don't think at the time I don't even know what that I knew what she looked like."""
";26:31;26:36;""I mean"," I don't remember ever seeing a picture of her."""
";26:36;26:38;""Like a current day picture."""
";26:38;26:42;""I might have seen a picture back in the 50s or 60s."""
";26:42;26:44;""But a current day picture of her."""
";26:44;26:46;""I don't even remember if I knew what she looked like."""
";26:46;26:49;""She was just a voice on the phone."""
";26:49;26:53;""So I think in terms of how it impacted my post Grinnell."""
";26:53;26:58;""Probably personally", you know," showed me what could be."""
";26:58;27:02;""In terms of a woman who is powerful and knows her stuff."""
";27:02;27:06;""Professionally"," I don't think it had a direct impact on me."""
";27:06;27:10;""But I did kind of end up in the music industry somehow."""
";27:10;27:14;""Right. Yeah. I mean"," it's really interesting."""
";27:14;27:15;""You mentioned sort of the."""
";27:15;27:19;""The strong", the strong woman aspect," especially."""
";27:19;27:26;""You know", looking, you know, one of the things," especially the conflict that she had with the college in the 70s."""
";27:26;27:31;""If I remember correctly"," I believe the president at the time wanted to eliminate her position in a couple of other ones."""
";27:31;27:40;""But all of these positions that they were trying to eliminate were positions held by women and they were trying to sort of mold it all together and put it in some."""
";27:40;27:48;""Some guy who did who"," according to the according to the opinion S&B section did not have the qualifications to do so."""
";27:48;27:53;""And so", yeah, I mean, that totally that totally makes sense. Just, you know," very strong."""
";27:53;27:59;""You know", she right. She, she just knew her stuff, right? She, she was," she was really good at what she did and."""
";27:59;28:03;""She knew her stuff and she knew her stuff. No one could."""
";28:03;28:06;""Debate that nobody could question it. Right."""
";28:06;28:09;""Right. Totally. Yeah."""
";28:09;28:17;""Okay. I don't know if I have any like more written questions. I just", you know," I just."""
";28:17;28:21;""You know"," is there anything else that you anything else that you'd like to share?"""
";28:21;28:26;""Anything else that you'd like to share about your time with Georgia"," about your time at Grinnell?"""
";28:26;28:32;""Really the floor is yours. No"," I mean the little college that could in the middle of Iowa."""
";28:32;28:36;""I mean"," for me."""
";28:36;28:39;""It was a powerful place to be."""
";28:39;28:43;""As I said", you know," I turned 60 this year."""
";28:43;28:48;""And I'm still closely connected to Grinnell."""
";28:48;28:53;""You know", not even the college itself," just the community."""
";28:53;29:02;""I would literally say", you know, if I have five best friends," four of them are from Grinnell."""
";29:02;29:10;""So it was very"," it was a time in my life that kind of molded me."""
";29:10;29:13;""And", you know," and Georgia was a part of that."""
";29:13;29:17;""She was a very strong and huge part of that."""
";29:17;29:22;""The two years I spent with her was very powerful."""
";29:22;29:27;""And I hope she gets all the the accolades she deserves."""
";29:27;29:29;""What are you doing with this?"""
";29:29;29:32;""What are you planning on doing with this research research or?"""
";29:32;29:34;""Well", so actually," that's a great question."""
";29:34;29:54;""I mean", so we're going to put a transcript of this interview on line and sort of the main sort of the main sort of thesis, if you will, or the main start of this project is
that Georgia did really did not get the accolades that she deserved while she was at the college," nor when she graduated."""
";29:54;29:58;""And you could probably say a part of that is because she didn't want them."""
";29:58;30:01;""She", she, she didn't want them," but."""
";30:01;30:10;""I think that", you know, a lot of some alumni who some alumni who worked with her were, you know, they just said, you know," that we worked with Georgia."""
";30:10;30:16;""She had a profound impact on us and we"," we don't think that she got the accolades she deserves."""
";30:16;30:18;""And so that's how this project started."""
";30:18;30:31;""And one of the things that we discovered while we were doing the project", doing preliminary research was that there's not a lot of not a lot of written down history in the
"archives of."""
";30:31;30:40;""She has a", she has an obituary apparently that she wrote herself actually, which is a fun fact that my, that my coworker," Maya was able to find out."""
";30:40;30:47;""She has the obituary", she has the Grinnell magazine article that came out in like the late 2000s," but there isn't a lot of other information."""
";30:47;30:50;""And so one of the things that we sort of."""
";30:50;31:02;""Sort of decided was that the main way that we were going to be able to bring sort of collect research on Georgia was to do oral history interviews with the folks that work"
"with her. Right."""
";31:02;31:09;""And so we're going to sort of put a transcript of this on the website we have"," we're creating a website with information."""
";31:09;31:17;""So my", so Maya, my good friend and coworker is working on a biography of, you know," a biography of Georgia."""
";31:17;31:32;""So from when she was", when she was a little kid and athlete to when she worked at the college, we've been able to go to Ackley, the Ackley Historical Society, the Ackley
"library and sort of look at sources there."""
";31:32;31:44;""And then Jackie note taker here has been doing work on just sort of concerts in the context of the college with other", with other," with other people."""
";31:44;31:47;""And then I've been focusing on", like I said earlier," a timeline."""
";31:47;31:50;""So sort of the goal of this project is", I think," twofold."""
";31:50;31:56;""The first one is to sort of make sure that Georgia", you know," that Georgia gets her flowers right as someone who."""
";31:56;32:08;""As someone who", I mean, I personally come to the conclusion after the past year or so of research that she is a top five most influential person to ever work at the
college," just in terms of cultural impact."""
";32:08;32:18;""When you", when you, you know, when I talk to alums and I, you know, I can from alums of essentially any year from, you know, from 1960 to 2001, I can always say, you know,
"Georgia Dental."""
";32:18;32:21;""And they'll be like", oh," I remember this concert. I remember this concert or whatever."""
";32:21;32:23;""And so it's clearly. So that's sort of one of the parts."""
";32:23;32:36;""And the other part is to sort of catalog the history of Grinnell concerts", because it's such an important part of the college's history that really does not get talked
"about a lot."""
";32:36;32:39;""And so those are sort of the two"," those are sort of the two aspects of it. Right."""
";32:39;32:40;""Okay."""
";32:40;32:50;""And yeah", I mean, we've, I've had a ton of fun creating the website. It's definitely going to take a while. I mean, putting together these oral history interviews,
putting together this timeline or whatnot," but it's been a lot of fun."""
";32:50;32:54;""Did you send me"," can you send me the link to the website?"""
";32:54;33:13;""Yeah", of course I can definitely do that. Perfect. And just actually one. Can I just ask you one last question? I just thought about it. I was just wondering if you could,
you mentioned sort of the town community. I was wondering if you could talk a little bit about the college town relations when you were," when you were at the college."""
";33:13;33:23;""Oh", well, there was definitely a divide," right? Between college and townies."""
";33:23;33:47;""Um", it depends. Um, I don't think it was the best. Um, the college definitely overran the town at the time. Right. And the town was still growing. I think, you know, we had
"a dairy queen."""
